ID,INDICATOR_IV,KEY_FIGURE,CRITER_CRITER,ENV_OB_ID,EUT_ACTIVITIES_ID,APPL_ID
1,Y,,ADS,CCM,2,20
2,Y,,ADS_ASM,CCM,2,21
3,Y,,ADS_EXAST,CCM,2,22
4,Y,,ADS_NBS,CCM,2,23
5,Y,,ADS_NEWAST,CCM,2,24
6,Y,,ADS_RES,CCM,2,25
7,Y,,ADS_STRG,CCM,2,26
8,,1.154,ALUMP,CCM,2,27
9,Y,,ALUMS,CCM,2,28
10,,198,CI,CCM,2,29
11,Y,,CP_BP,CCM,2,30
12,Y,,CVA_OTR,CCM,2,31
13,Y,,CVA_SCALE10,CCM,2,32
14,,12,ELEC,CCM,2,33
15,Y,,RISK,CCM,2,34
16,Y,,RISK_MAT,CCM,2,35
17,Y,,RISK_SCREEN,CCM,2,36
18,Y,,ADS,CCM,1,430
19,Y,,ADS_ASM,CCM,1,431
20,Y,,ADS_EXAST,CCM,1,432
21,Y,,ADS_NBS,CCM,1,433
22,Y,,ADS_NEWAST,CCM,1,434
23,Y,,ADS_RES,CCM,1,435
24,Y,,ADS_STRG,CCM,1,436
25,Y,,CP_BP,CCM,1,437
26,Y,,CVA_OTR,CCM,1,438
27,Y,,CVA_SCALE10,CCM,1,439
28,Y,,RISK,CCM,1,440
29,Y,,RISK_MAT,CCM,1,441
30,Y,,RISK_SCREEN,CCM,1,442
31,,0.156,COK,CCM,1,443
32,,91,CST,CCM,1,444
33,,64,HAS,CCM,1,445
34,,1.33,HMT,CCM,1,446
35,,0.175,STO,CCM,1,447
36,,0.31,EFA,CCM,1,448
37,,0.249,EFC,CCM,1,449
38,Y,,ADS,CCM,6,430
39,Y,,ADS_ASM,CCM,6,431
40,Y,,ADS_EXAST,CCM,6,432
41,Y,,ADS_NBS,CCM,6,433
42,Y,,ADS_NEWAST,CCM,6,434
43,Y,,ADS_RES,CCM,6,435
44,Y,,ADS_STRG,CCM,6,436
45,Y,,CP_BP,CCM,6,437
46,Y,,CVA_OTR,CCM,6,438
47,Y,,CVA_SCALE10,CCM,6,439
48,Y,,RISK,CCM,6,440
49,Y,,RISK_MAT,CCM,6,441
50,Y,,RISK_SCREEN,CCM,6,442
51,,0.155,COK,CCM,6,443
52,,89,CST,CCM,6,444
53,,62,HAS,CCM,6,445
54,,1.36,HMT,CCM,6,446
55,,0.169,STO,CCM,6,447
56,,0.3,EFA,CCM,6,448
57,,0.233,EFC,CCM,6,449
