ID,ECO_ACT_ECO_ACT,ENV_OB_ID,CRITER_CRITER,LVL1_VAR,LVL1_VAL,LVL2_VAR,LVL2_VAL,LVL3_VAR,LVL3_VAL,LVL4_VAR,LVL4_VAL,SUBST
1,EA_C_MA,BIO,BIO_EIA,REGULAR,,,,,,,,
2,EA_C_MA,BIO,BIO_LBS,REGULAR,,,,,,,,
3,EA_C_MA,CCA,ADS,REGULAR,,,,,,,,
4,EA_C_MA,CCA,ADS_ASM,REGULAR,,,,,,,,
5,EA_C_MA,CCA,ADS_DNSH,REGULAR,,,,,,,,
6,EA_C_MA,CCA,ADS_EXAST,REGULAR,,,,,,,,
7,EA_C_MA,CCA,ADS_MEAS,REGULAR,,,,,,,,
8,EA_C_MA,CCA,ADS_NBS,REGULAR,,,,,,,,
9,EA_C_MA,CCA,ADS_NBS,REGULAR,,,,,,,,
10,EA_C_MA,CCA,ADS_NEWAST,REGULAR,,,,,,,,
11,EA_C_MA,CCA,ADS_RES,REGULAR,,,,,,,,
12,EA_C_MA,CCA,ADS_STRG,REGULAR,,,,,,,,
13,EA_C_MA,CCA,ADS_STRG,REGULAR,,,,,,,,
14,EA_C_MA,CCA,CP_BP,REGULAR,,,,,,,,
15,EA_C_MA,CCA,CVA_OTR,REGULAR,,,,,,,,
16,EA_C_MA,CCA,CVA_SCALE10,REGULAR,,,,,,,,
17,EA_C_MA,CCA,RISK,REGULAR,,,,,,,,
18,EA_C_MA,CCA,RISK_MAT,REGULAR,,,,,,,,
19,EA_C_MA,CCA,RISK_SCREEN,REGULAR,,,,,,,,
20,EA_C_MA,CCM,ADS,REGULAR,,,,,,,,
21,EA_C_MA,CCM,ADS_ASM,REGULAR,,,,,,,,
22,EA_C_MA,CCM,ADS_EXAST,REGULAR,,,,,,,,
23,EA_C_MA,CCM,ADS_NBS,REGULAR,,,,,,,,
24,EA_C_MA,CCM,ADS_NEWAST,REGULAR,,,,,,,,
25,EA_C_MA,CCM,ADS_RES,REGULAR,,,,,,,,
26,EA_C_MA,CCM,ADS_STRG,REGULAR,,,,,,,,
27,EA_C_MA,CCM,ALUMP,REGULAR,,,,,,,,
28,EA_C_MA,CCM,ALUMS,REGULAR,,,,,,,,
29,EA_C_MA,CCM,CI,REGULAR,,,,,,,,
30,EA_C_MA,CCM,CP_BP,REGULAR,,,,,,,,
31,EA_C_MA,CCM,CVA_OTR,REGULAR,,,,,,,,
32,EA_C_MA,CCM,CVA_SCALE10,REGULAR,,,,,,,,
33,EA_C_MA,CCM,ELEC,REGULAR,,,,,,,,
34,EA_C_MA,CCM,RISK,REGULAR,,,,,,,,
35,EA_C_MA,CCM,RISK_MAT,REGULAR,,,,,,,,
36,EA_C_MA,CCM,RISK_SCREEN,REGULAR,,,,,,,,
37,EA_C_MA,CEC,CEC,NA,,,,,,,,
38,EA_C_MA,WAT,WAT_EIA,REGULAR,,,,,,,,
