ID,INDICATOR_IV,KEY_FIGURE,CRITER_CRITER,ENV_OB_ID,EUT_ACTIVITIES_ID,APPL_ID
1,,95,POL_CECF_12,POL,2,176
2,,144,POL_NECF_6,POL,2,184
3,,196,POL_SECF_22,POL,2,187
4,,4.5,POL_HEC_26,POL,2,191
5,,4.3,POL_HEC_30,POL,2,192
6,,9.3,POL_DEC_36,POL,2,195
7,,3.44,POL_MEC_44,POL,2,197
8,,45,POL_CEIB_130,POL,1,752
9,,6,POL_DEIB_138,POL,1,756
10,,104,POL_NEIB_126,POL,1,760
11,,94,POL_SEIB_134,POL,1,764
12,,44,POL_CEIB_130,POL,6,752
13,,6.2,POL_DEIB_138,POL,6,756
14,,100,POL_NEIB_126,POL,6,760
15,,95,POL_SEIB_134,POL,6,764
